year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2003,43,Divorced,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2003,62,Widowed,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.12762305,62.03030461
2006,45,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.579783597,97.49329405
2004,40,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.982271233,145.8051634
2003,33,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.414973348,82.6796373
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,5,148.4131591
2009,21,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,3.903089987,49.55533812
2009,54,Married,Asian,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2003,43,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.301029996,73.77574327
2004,54,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.84509804,127.1157438
2004,35,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.698970004,109.8339856
2008,23,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.120573931,61.59458318
2006,61,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.713490543,111.4404696
2004,51,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.929418926,138.2991269
2006,43,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.84509804,127.1157438
2003,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.322219295,75.35567932
2007,51,Married,Other,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.934498451,139.0034081
2009,65,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.77815125,118.8843593
2009,37,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2008,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.193180274,66.23309573
2003,36,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.294466226,73.29308207
2005,45,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.875061263,130.9821774
2008,33,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.623217234,276.7784133
2009,36,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.464876871,86.91032774
2004,32,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2009,45,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2003,51,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2005,33,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.919078092,136.8763676
2003,47,Divorced,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.431363764,84.04595765
2003,37,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.278753601,196.1252726
2008,41,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.799340549,121.4303138
2005,23,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.568483337,96.3977959
2009,57,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.857332496,128.6804882
2006,61,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2007,47,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.447158031,85.38394038
2003,29,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2005,37,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2005,57,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,5,148.4131591
2004,39,Never Married,White,Advanced Degree,Middle Atlantic,Information,Good,No,4.397940009,81.28325328
2007,59,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.982271233,145.8051634
2007,31,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.004321374,149.0558956
2009,26,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.579783597,97.49329405
2009,51,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.770852012,118.0197533
2006,38,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2006,51,Married,White,College Grad,Middle Atlantic,Information,Good,No,4.77815125,118.8843593
2004,50,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.380211242,79.85490031
2005,32,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2007,38,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2005,49,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2005,40,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.301029996,73.77574327
2007,60,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.041392685,154.685293
2007,30,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.62324929,101.8243521
2003,41,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2009,32,Never Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.740362689,114.4757133
2009,26,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.662757832,105.9278108
2004,41,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2008,53,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.903089987,134.7053751
2005,35,Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.579783597,97.49329405
2008,50,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2004,43,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.146128036,171.7651326
2003,50,Separated,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.216957207,67.82678713
2009,19,Never Married,Black,HS Grad,Middle Atlantic,Information,Good,No,4.301029996,73.77574327
2004,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.51851394,91.69922611
2007,53,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.204119983,66.96164432
2004,22,Never Married,Black,Some College,Middle Atlantic,Information,Good,No,4.556302501,95.23071257
2003,49,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.591064607,98.59934386
2005,33,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2005,31,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2004,43,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.505149978,90.48191336
2009,57,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.698970004,109.8339856
2005,40,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2003,48,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.437100219,84.52946902
2004,46,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.62324929,101.8243521
2009,58,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.653212514,104.9215065
2003,50,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.653212514,104.9215065
2005,38,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2004,33,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.619093331,101.4020523
2007,52,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,5.004321374,149.0558956
2004,48,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2006,53,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.079181246,160.6424754
2008,37,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2007,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.782522787,119.4052043
2008,54,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.681241237,107.9039239
2004,41,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.042575512,154.8683672
2005,57,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4.322219295,75.35567932
2007,54,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.77524626,118.5395025
2009,25,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.342422681,76.89360252
2003,35,Separated,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.130333768,62.19867943
2008,29,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.204119983,182.020621
2009,36,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,5.590617833,267.9010869
2005,43,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.954242509,141.7751723
2007,41,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.230448921,186.8766776
2003,52,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.278753601,72.15045568
2005,48,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,3.903089987,49.55533812
2003,51,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,No,4.397940009,81.28325328
2004,55,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2004,37,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.579783597,97.49329405
2007,48,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.716003344,111.7208494
2003,42,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.62324929,101.8243521
2007,43,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.84509804,127.1157438
2006,32,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.477121255,87.98103279
2006,33,Never Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.431363764,84.04595765
2003,48,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.361727836,78.3924668
2009,20,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,No,3.836577275,46.36650274
2005,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.889301703,132.8607653
2003,58,Divorced,Black,HS Grad,Middle Atlantic,Information,Good,Yes,4.120573931,61.59458318
2004,38,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,23,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.193124598,66.22940829
2009,54,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.69019608,108.8745258
2007,66,Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2009,47,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.029383778,152.838801
2003,35,Married,White,Some College,Middle Atlantic,Information,Good,No,4.342422681,76.89360252
2008,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.963787827,143.1349408
2005,35,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.829946696,125.2042866
2006,40,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.325597753,75.61069586
2006,41,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2004,40,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2006,50,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,No,4.079181246,59.09706408
2004,35,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2009,43,Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.556302501,95.23071257
2005,26,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2009,23,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,3.903089987,49.55533812
2003,61,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.875061263,130.9821774
2004,24,Never Married,White,College Grad,Middle Atlantic,Information,Good,Yes,3.77815125,43.73511168
2006,66,Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2006,50,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2005,22,Never Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.318063335,75.04315402
2004,62,Married,Black,HS Grad,Middle Atlantic,Information,Good,Yes,4.51851394,91.69922611
2003,55,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.662757832,105.9278108
2004,41,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.301029996,73.77574327
2005,54,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.136720567,170.1568344
2009,29,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,No,4.929418926,138.2991269
2004,39,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.62324929,101.8243521
2006,71,Divorced,White,College Grad,Middle Atlantic,Information,Good,No,4.477121255,87.98103279
2003,22,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.361727836,78.3924668
2007,48,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.812913357,123.0896998
2009,35,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.755874856,116.2653241
2003,46,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4.505149978,90.48191336
2003,51,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.698970004,109.8339856
2005,55,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.653212514,104.9215065
2005,36,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2008,57,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2005,21,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2006,60,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.857332496,128.6804882
2006,41,Never Married,Black,Some College,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2004,56,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.937016107,139.3538118
2005,32,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.544068044,94.07271475
2003,32,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.301029996,73.77574327
2006,36,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.681241237,107.9039239
2006,28,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.167317335,64.54207487
2009,60,Married,White,Advanced Degree,Middle Atlantic,Information,Good,No,4.929418926,138.2991269
2003,41,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.491361694,89.24288466
2006,55,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2003,36,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2006,46,Never Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.505149978,90.48191336
2008,62,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.494154594,89.49247952
2006,44,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.632457292,102.7662809
2006,36,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2004,41,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2006,22,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2008,51,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.867408557,129.9836348
2008,57,Married,White,Below HS Grad,Middle Atlantic,Information,Good,Yes,4.707570176,110.7826503
2005,55,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.740362689,114.4757133
2003,36,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2008,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.623217234,276.7784133
2003,38,Married,White,Some College,Middle Atlantic,Information,Good,No,3.176091259,23.95294448
2006,27,Never Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.643452676,103.9024706
2007,32,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2009,44,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.272305844,71.68674367
2008,56,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.623217234,276.7784133
2007,38,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,4.954242509,141.7751723
2003,36,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2005,28,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.69019608,108.8745258
2005,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.380211242,79.85490031
2008,42,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,No,4.369252975,78.98460618
2009,51,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.414973348,82.6796373
2004,55,Married,Black,HS Grad,Middle Atlantic,Information,Good,Yes,4.494154594,89.49247952
2007,39,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2003,42,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.697804533,109.7060518
2006,33,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.763427994,117.1468169
2008,23,Never Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.301029996,73.77574327
2003,40,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2003,40,Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.392696953,80.85819596
2009,51,Married,Asian,Some College,Middle Atlantic,Industrial,Good,Yes,4.681241237,107.9039239
2007,76,Married,Asian,College Grad,Middle Atlantic,Industrial,Good,Yes,4.342422681,76.89360252
2007,57,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2003,27,Separated,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.556302501,95.23071257
2005,26,Never Married,Black,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.431363764,84.04595765
2005,25,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2005,27,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.619093331,101.4020523
2004,33,Never Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.477121255,87.98103279
2003,51,Divorced,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.477121255,87.98103279
2005,22,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.544068044,94.07271475
2005,47,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.853588712,128.1996369
2009,34,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.916453949,136.5176552
2008,47,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.681241237,107.9039239
2005,31,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.812913357,123.0896998
2005,46,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.51851394,91.69922611
2006,47,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.361727836,78.3924668
2006,49,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.041392685,154.685293
2003,40,Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.913813852,136.1577108
2004,51,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2008,31,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.334453751,76.28327785
2003,58,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2005,48,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,No,4.474929786,87.78843622
2004,54,Divorced,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.84509804,127.1157438
2007,56,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.037426498,154.0729972
2007,61,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.698970004,109.8339856
2009,32,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.929418926,138.2991269
2007,60,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,5.103803721,164.6469889
2006,42,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.929418926,138.2991269
2003,22,Never Married,Asian,Some College,Middle Atlantic,Information,Very Good,No,3.806179974,44.97829203
2003,46,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.670245853,106.7239776
2005,53,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2008,43,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2009,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.322219295,75.35567932
2009,30,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2009,50,Never Married,Black,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.698970004,109.8339856
2006,40,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.626899559,277.7994802
2009,55,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.380211242,79.85490031
2004,42,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.113943352,166.3249412
2004,35,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.322219295,75.35567932
2004,33,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.606037233,100.0867423
2004,33,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.633468456,102.8702469
2003,38,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.776701184,118.7120941
2009,41,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.763427994,117.1468169
2009,42,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.8162413,123.5000178
2009,58,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2009,45,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.342422681,76.89360252
2009,47,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2005,30,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.662757832,105.9278108
2009,34,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2006,43,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,5.008600172,149.6950421
2008,58,Separated,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2009,44,Married,Black,Some College,Middle Atlantic,Industrial,Good,No,4.653231815,104.9235317
2005,28,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.113943352,61.18752643
2004,46,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.662757832,105.9278108
2008,36,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.681241237,107.9039239
2007,37,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.260071388,70.81503862
2008,47,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2007,56,Divorced,White,Some College,Middle Atlantic,Information,Very Good,No,4.602059991,99.6894637
2009,38,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.716003344,111.7208494
2007,41,Never Married,Black,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.322219295,75.35567932
2004,62,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.544068044,94.07271475
2004,40,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2004,44,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2007,56,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2008,51,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,No,4.342422681,76.89360252
2005,41,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.462397998,86.69515483
2005,52,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2008,27,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.612783857,100.7642728
2004,52,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.740362689,114.4757133
2005,51,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.207365037,67.17929148
2009,51,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.380211242,79.85490031
2005,28,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.505149978,90.48191336
2007,49,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.059941888,57.97094218
2007,61,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.740362689,114.4757133
2006,39,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.602059991,99.6894637
2005,23,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.494154594,89.49247952
2007,53,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.022597437,151.8050963
2004,55,Never Married,Asian,Some College,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2005,48,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2007,50,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2009,31,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2007,53,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.857332496,128.6804882
2008,49,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,5.041392685,154.685293
2003,49,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.875061263,130.9821774
2004,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.792391689,120.5894365
2007,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2008,46,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.702051225,110.1729303
2005,48,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.025305865,152.2168068
2005,19,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.255272505,70.47601965
2004,56,Divorced,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.447158031,85.38394038
2003,44,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.62324929,101.8243521
2009,23,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.447158031,85.38394038
2005,42,Never Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.62324929,101.8243521
2008,32,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.77815125,118.8843593
2003,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.301029996,73.77574327
2003,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.301029996,73.77574327
2008,57,Never Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.931671406,138.610994
2008,26,Married,Black,Some College,Middle Atlantic,Information,Good,Yes,4.698970004,109.8339856
2009,67,Divorced,White,Some College,Middle Atlantic,Information,Good,Yes,5.021189299,151.5914842
2004,31,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
